Zip_5,MedianHouseholdIncome
05761,58654.0
05766,118542.0
05819,59844.0
05826,76442.0
05827,80500.0
05830,67321.0
05832,76023.0
05833,66500.0
05836,97179.0
05839,71023.0
05846,47857.0
05857,76992.0
05858,48500.0
05859,80694.0
06002,97436.0
06016,119338.0
06019,128725.0
06024,79189.0
06043,124861.0
06066,80766.0
06071,115833.0
06074,143025.0
06076,96944.0
06081,103125.0
06082,91141.0
06107,167659.0
06110,81972.0
06119,105522.0
06120,33521.0
06232,127335.0
06238,104953.0
06248,136328.0
06249,106594.0
06268,56533.0
06279,88370.0
06281,110341.0
06332,58328.0
06335,126121.0
06339,104963.0
06340,77768.0
06370,100891.0
06373,45556.0
06375,104427.0
06376,183625.0
06410,150524.0
06423,106217.0
06447,140022.0
06451,68081.0
06461,124129.0
06471,120885.0
06473,127370.0
06482,144387.0
06483,103682.0
06484,114739.0
06498,76172.0
06511,56300.0
06606,68538.0
06704,47848.0
06705,53169.0
06706,51770.0
06710,42774.0
06762,142750.0
06779,89353.0
06793,119375.0
06801,115135.0
06807,194492.0
06811,107519.0
06851,106978.0
06854,86399.0
06903,203438.0
06906,91710.0
07009,153654.0
07012,100341.0
07014,138222.0
07022,64152.0
07023,176667.0
07027,100948.0
07029,80495.0
07032,83212.0
07035,117929.0
07044,159044.0
07054,107955.0
07055,56780.0
07058,147207.0
07068,160644.0
07070,136069.0
07074,108359.0
07081,146059.0
07082,194464.0
07090,212700.0
07092,210100.0
07094,134746.0
07095,99718.0
07103,42397.0
07114,34167.0
07201,62026.0
07202,68071.0
07204,104418.0
07205,98558.0
07304,68432.0
07403,126825.0
07405,127500.0
07418,200296.0
07420,106915.0
07430,128125.0
07432,140063.0
07439,104946.0
07470,151561.0
07502,68649.0
07505,33311.0
07605,115476.0
07624,187500.0
07627,175078.0
07628,125585.0
07630,153963.0
07632,222192.0
07640,180515.0
07643,79476.0
07646,113513.0
07648,164766.0
07649,214736.0
07652,139707.0
07661,155827.0
07666,134311.0
07670,208088.0
07675,176981.0
07704,237132.0
07711,125938.0
07712,95691.0
07718,139313.0
07719,119877.0
07724,99170.0
07739,220746.0
07746,186885.0
07760,217545.0
07764,123661.0
07803,113861.0
07836,154743.0
07840,107956.0
07848,116042.0
07853,183692.0
07856,98397.0
07878,113875.0
07885,100903.0
07920,184630.0
07922,179006.0
07932,147009.0
07933,162538.0
07936,144792.0
08005,92548.0
08007,94375.0
08008,116544.0
08026,99881.0
08030,66190.0
08041,136250.0
08043,112606.0
08049,94567.0
08053,116745.0
08060,107165.0
08063,81654.0
08081,102924.0
08085,137028.0
08086,88125.0
08093,70257.0
08094,92125.0
08097,117614.0
08102,30895.0
08106,107539.0
08108,107764.0
08109,84332.0
08201,72120.0
08205,88636.0
08221,135904.0
08226,101782.0
08232,52476.0
08241,130417.0
08260,71549.0
08312,88448.0
08323,87000.0
08344,73340.0
